263 time:460.2,best fitness:-5.176392171819027
264 time:458.6,best fitness:-5.152402125726193
265 time:462.51,best fitness:-5.178390505421295
266 time:459.77,best fitness:-5.169693297457697
267 time:464.57,best fitness:-5.215861872891553
268 time:460.56,best fitness:-5.187188423391808
269 time:466.25,best fitness:-5.173922333731296
270 time:463.14,best fitness:-5.167039849219043
271 time:460.88,best fitness:-5.168341856342177
272 time:460.09,best fitness:-5.164569073634122
273 time:459.22,best fitness:-5.15150427008385
274 time:453.81,best fitness:-5.135531188223443
275 time:458.03,best fitness:-5.155577199105829
276 time:457.4,best fitness:-5.182873395512842
277 time:456.98,best fitness:-5.153184025968414
278 time:454.68,best fitness:-5.137763873701393
279 time:454.01,best fitness:-5.132601226811559
280 time:456.9,best fitness:-5.126961089778799
281 time:453.04,best fitness:-5.130045807708399
282 time:455.99,best fitness:-5.136869089734865
283 time:452.61,best fitness:-5.1027519625895055
284 time:457.55,best fitness:-5.15525867337593
285 time:460.36,best fitness:-5.0719581858337515
286 time:452.92,best fitness:-5.1184079856528
287 time:455.53,best fitness:-5.160516784907512
288 time:458.68,best fitness:-5.1447468212932455
289 time:460.2,best fitness:-5.152969282840116
290 time:457.3,best fitness:-5.141746237973701
291 time:455.89,best fitness:-5.125577645606188
292 time:455.5,best fitness:-5.131481648526387
293 time:454.2,best fitness:-5.109607628426809
294 time:457.68,best fitness:-5.1824235147097015
295 time:460.09,best fitness:-5.163179154278973
296 time:454.71,best fitness:-5.123244885117695
297 time:453.85,best fitness:-5.15027884575237
298 time:462.26,best fitness:-5.175985695217795
299 time:457.27,best fitness:-5.1729704635286335
300 time:459.68,best fitness:-5.113364308203707
301 time:454.33,best fitness:-5.146037790575953
302 time:453.64,best fitness:-5.130562484836635
303 time:462.37,best fitness:-5.143581977172608
304 time:458.77,best fitness:-5.167904219383668
305 time:453.75,best fitness:-5.160547671203858
306 time:454.54,best fitness:-5.146059832762107
307 time:455.26,best fitness:-5.137956821357259
308 time:457.4,best fitness:-5.125931420027892
309 time:453.6,best fitness:-5.17547985722579
310 time:451.82,best fitness:-5.16645641208636
311 time:453.39,best fitness:-5.130927510654262
312 time:452.79,best fitness:-5.146764819524673
313 time:456.08,best fitness:-5.109782933775653
314 time:457.96,best fitness:-5.124362861025894
315 time:450.95,best fitness:-5.140248660357214
316 time:455.16,best fitness:-5.139594980348866
317 time:461.48,best fitness:-5.1488584296479925
318 time:456.68,best fitness:-5.146850453975037
319 time:453.47,best fitness:-5.146566593488557
320 time:457.07,best fitness:-5.154172303879639
321 time:455.37,best fitness:-5.123322899674173
322 time:454.22,best fitness:-5.1250423868912165
323 time:451.85,best fitness:-5.139053024824148
324 time:453.58,best fitness:-5.125159332364408
325 time:459.46,best fitness:-5.156342512483238
326 time:454.58,best fitness:-5.179567303689849
327 time:457.85,best fitness:-5.1779453504257
328 time:457.8,best fitness:-5.185437322117449
