340 time:0.09,best fitness:0.9961538461538462
341 time:0.09,best fitness:0.9961538461538462
342 time:0.09,best fitness:0.9961538461538462
343 time:0.1,best fitness:0.9961538461538462
344 time:0.1,best fitness:0.9961538461538462
345 time:0.15,best fitness:0.9961538461538462
346 time:0.08,best fitness:0.9961538461538462
347 time:0.08,best fitness:0.9961538461538462
348 time:0.08,best fitness:0.9961538461538462
349 time:0.09,best fitness:0.9961538461538462
350 time:0.09,best fitness:0.9961538461538462
351 time:0.08,best fitness:0.9961538461538462
352 time:0.07,best fitness:0.9961538461538462
353 time:0.08,best fitness:0.9961538461538462
354 time:0.09,best fitness:0.9961538461538462
355 time:0.08,best fitness:0.9961538461538462
356 time:0.09,best fitness:0.9961538461538462
357 time:0.07,best fitness:0.9961538461538462
358 time:0.07,best fitness:0.9961538461538462
359 time:0.08,best fitness:0.9961538461538462
360 time:0.08,best fitness:0.9961538461538462
361 time:0.07,best fitness:0.9961538461538462
362 time:0.07,best fitness:0.9961538461538462
363 time:0.08,best fitness:0.9961538461538462
364 time:0.08,best fitness:0.9961538461538462
365 time:0.08,best fitness:0.9961538461538462
366 time:0.09,best fitness:0.9961538461538462
367 time:0.08,best fitness:0.9961538461538462
368 time:0.08,best fitness:0.9961538461538462
369 time:0.09,best fitness:0.9961538461538462
370 time:0.08,best fitness:0.9961538461538462
371 time:0.1,best fitness:0.9961538461538462
372 time:0.08,best fitness:0.9961538461538462
373 time:0.07,best fitness:0.9961538461538462
374 time:0.08,best fitness:0.9961538461538462
375 time:0.08,best fitness:0.9961538461538462
376 time:0.24,best fitness:0.9961538461538462
377 time:0.09,best fitness:0.9961538461538462
378 time:0.1,best fitness:0.9961538461538462
379 time:0.09,best fitness:0.9961538461538462
380 time:0.08,best fitness:0.9961538461538462
381 time:0.1,best fitness:0.9961538461538462
382 time:0.08,best fitness:0.9961538461538462
383 time:0.09,best fitness:1.0
