218 time:150.01,best fitness:-16.95660464500085
219 time:151.27,best fitness:-17.80487539857077
220 time:154.72,best fitness:-17.389215908592472
221 time:151.87,best fitness:-17.481515266798855
222 time:153.57,best fitness:-17.520175274321705
223 time:151.85,best fitness:-17.18057861957831
224 time:154.79,best fitness:-17.523899104139286
225 time:156.47,best fitness:-17.464533314605532
226 time:155.15,best fitness:-17.49637499707181
227 time:153.74,best fitness:-17.286178679491133
228 time:155.98,best fitness:-17.57052750850482
229 time:152.74,best fitness:-16.94457822528693
230 time:151.25,best fitness:-17.244965038765333
231 time:149.59,best fitness:-17.144611553592412
232 time:151.61,best fitness:-17.533157730096463
233 time:152.93,best fitness:-17.11033110145507
234 time:152.87,best fitness:-17.013476626272737
235 time:152.98,best fitness:-17.311474620031774
236 time:148.83,best fitness:-17.30548052382778
237 time:152.87,best fitness:-17.647232933348075
238 time:155.6,best fitness:-17.229567230923283
239 time:153.12,best fitness:-17.36383174186636
240 time:151.69,best fitness:-17.215199519976935
241 time:150.39,best fitness:-17.245661837425946
242 time:151.69,best fitness:-17.440468014949705
243 time:152.04,best fitness:-17.252988858411722
244 time:150.9,best fitness:-17.34774743270088
245 time:149.71,best fitness:-17.074706301197736
246 time:151.77,best fitness:-17.28420255815794
247 time:155.29,best fitness:-17.463059179466793
248 time:152.46,best fitness:-17.467383267662125
249 time:154.82,best fitness:-17.666764156499358
250 time:154.13,best fitness:-17.704954975455554
251 time:154.82,best fitness:-17.439731934765884
252 time:153.71,best fitness:-17.371043752916997
253 time:153.45,best fitness:-16.877651687480988
254 time:153.92,best fitness:-17.273736348029832
255 time:153.07,best fitness:-17.291231847790495
256 time:153.48,best fitness:-17.09384307162494
257 time:155.06,best fitness:-17.492743024350393
258 time:155.19,best fitness:-17.794322197647446
259 time:154.02,best fitness:-17.03400085278444
260 time:153.11,best fitness:-17.1641261383032
261 time:154.07,best fitness:-17.134044390967485
262 time:151.1,best fitness:-17.38320765205732
263 time:155.84,best fitness:-17.034616009146916
264 time:149.21,best fitness:-17.938214908094796
265 time:152.44,best fitness:-17.334473462701308
266 time:148.29,best fitness:-17.570368434788737
267 time:151.57,best fitness:-17.586412051500094
268 time:154.34,best fitness:-17.393958758916288
269 time:159.59,best fitness:-17.956270530994534
270 time:152.39,best fitness:-17.015166319779706
271 time:155.56,best fitness:-17.24952774576219
272 time:155.51,best fitness:-17.41241855505181
273 time:156.41,best fitness:-17.574193771688503
274 time:153.88,best fitness:-17.306631271652527
275 time:156.49,best fitness:-17.69918705706397
276 time:151.32,best fitness:-17.277364986645413
277 time:155.56,best fitness:-17.141693729351225
278 time:155.37,best fitness:-17.14039721552508
279 time:153.32,best fitness:-16.117556086713794
280 time:154.2,best fitness:-15.993829589188223
281 time:152.2,best fitness:-15.982228171564794
282 time:155.1,best fitness:-15.989736451308291
283 time:153.64,best fitness:-15.693269814693645
284 time:155.55,best fitness:-15.80378045534143
285 time:155.48,best fitness:-15.969429845185703
286 time:156.1,best fitness:-16.484360619629914
287 time:154.54,best fitness:-16.609259545105807
288 time:152.47,best fitness:-16.294285366336656
289 time:152.39,best fitness:-16.035455018830948
290 time:154.91,best fitness:-15.64969100872917
291 time:156.12,best fitness:-16.355516616051908
292 time:152.01,best fitness:-15.694455233187297
293 time:153.22,best fitness:-15.758763259772095
294 time:153.47,best fitness:-16.11995525898993
295 time:155.29,best fitness:-15.831942659695548
296 time:152.2,best fitness:-15.93687475539675
297 time:151.51,best fitness:-15.618705693980857
298 time:151.15,best fitness:-15.762517770665937
