390 time:71.02,best fitness:71.13011538461538
391 time:71.08,best fitness:71.12897692307692
392 time:71.01,best fitness:71.13415384615385
393 time:70.17,best fitness:71.13066153846154
394 time:70.96,best fitness:71.13676923076923
395 time:70.91,best fitness:71.1286
396 time:70.45,best fitness:71.13007692307693
397 time:70.05,best fitness:71.12956923076925
398 time:70.32,best fitness:71.13463846153846
399 time:70.12,best fitness:71.13293076923077
400 time:70.3,best fitness:71.12211538461538
401 time:70.28,best fitness:71.12625384615384
402 time:70.36,best fitness:71.13765384615382
403 time:70.4,best fitness:71.13465384615384
404 time:70.22,best fitness:71.13633076923077
405 time:70.53,best fitness:71.13436153846153
406 time:70.74,best fitness:71.12824615384616
407 time:71.08,best fitness:71.13065384615385
408 time:70.74,best fitness:71.13565384615384
409 time:70.83,best fitness:71.13465384615384
410 time:71.18,best fitness:71.13215384615384
411 time:70.47,best fitness:71.1318846153846
412 time:70.89,best fitness:71.13815384615384
413 time:70.67,best fitness:71.13765384615382
414 time:71.27,best fitness:71.12765384615386
415 time:69.93,best fitness:71.12630769230769
416 time:71.03,best fitness:71.13065384615385
417 time:70.59,best fitness:71.1294153846154
418 time:70.97,best fitness:71.13711538461538
419 time:70.47,best fitness:71.13419999999999
420 time:70.06,best fitness:71.13327692307692
421 time:70.7,best fitness:71.13440769230769
422 time:70.08,best fitness:71.12723846153847
423 time:70.3,best fitness:71.13015384615386
424 time:70.5,best fitness:71.13495384615385
425 time:70.85,best fitness:71.1325846153846
426 time:71.61,best fitness:71.13758461538461
427 time:71.67,best fitness:71.1290923076923
428 time:72.22,best fitness:71.13368461538461
429 time:72.75,best fitness:71.13265384615383
430 time:71.86,best fitness:71.13115384615384
431 time:71.68,best fitness:71.1381076923077
432 time:71.22,best fitness:71.13165384615384
433 time:71.38,best fitness:71.13815384615384
434 time:70.57,best fitness:71.10415384615385
435 time:71.57,best fitness:71.13465384615384
436 time:71.55,best fitness:71.12941538461538
437 time:71.24,best fitness:71.13336923076923
438 time:71.15,best fitness:71.13166153846153
439 time:70.91,best fitness:71.1343846153846
440 time:71.1,best fitness:71.13915384615385
441 time:71.27,best fitness:71.13556923076922
442 time:70.31,best fitness:71.13143846153847
443 time:71.29,best fitness:71.13483076923075
444 time:70.91,best fitness:71.13415384615385
445 time:70.91,best fitness:71.13191538461538
446 time:71.56,best fitness:71.13465384615384
447 time:71.36,best fitness:71.1326
448 time:71.99,best fitness:71.13336923076922
449 time:71.48,best fitness:71.13015384615383
450 time:71.27,best fitness:71.12912307692307
451 time:72.69,best fitness:71.1290153846154
452 time:72.5,best fitness:71.13134615384615
453 time:72.82,best fitness:71.13665384615385
454 time:72.66,best fitness:71.13336923076923
455 time:72.28,best fitness:71.13303076923076
456 time:72.38,best fitness:71.12613846153847
457 time:72.07,best fitness:71.13665384615385
458 time:72.31,best fitness:71.13515384615386
459 time:72.46,best fitness:71.1388
460 time:72.07,best fitness:71.12809230769231
461 time:72.83,best fitness:71.12977692307693
462 time:72.68,best fitness:71.13365384615383
463 time:72.2,best fitness:71.12965384615386
464 time:72.03,best fitness:71.13565384615384
465 time:71.73,best fitness:71.1359923076923
466 time:72.39,best fitness:71.13715384615385
467 time:71.89,best fitness:71.13005384615383
468 time:72.29,best fitness:71.13515384615386
469 time:71.66,best fitness:71.13765384615385
470 time:71.9,best fitness:71.14115384615384
471 time:72.07,best fitness:71.13465384615384
472 time:69.81,best fitness:71.13365384615386
473 time:72.74,best fitness:71.14065384615384
474 time:72.85,best fitness:71.13915384615385
475 time:72.42,best fitness:71.13165384615385
476 time:72.83,best fitness:71.13765384615382
477 time:71.89,best fitness:71.13315384615386
478 time:72.07,best fitness:71.12815384615384
479 time:72.11,best fitness:71.12065384615386
480 time:71.28,best fitness:71.13765384615384
481 time:69.99,best fitness:71.13515384615384
482 time:70.65,best fitness:71.14015384615384
483 time:70.74,best fitness:71.13565384615386
484 time:70.76,best fitness:71.13915384615385
485 time:70.34,best fitness:71.13965384615385
486 time:70.35,best fitness:71.13815384615384
487 time:70.76,best fitness:71.13815384615384
488 time:69.88,best fitness:71.13615384615386
489 time:70.07,best fitness:71.13665384615385
490 time:71.22,best fitness:71.13565384615383
491 time:71.35,best fitness:71.13715384615385
492 time:71.36,best fitness:71.13515384615386
493 time:72.12,best fitness:71.13615384615383
494 time:70.89,best fitness:71.13265384615383
495 time:71.43,best fitness:71.13865384615383
496 time:71.66,best fitness:71.13765384615385
497 time:71.53,best fitness:71.14065384615384
498 time:72.02,best fitness:71.13615384615383
499 time:71.51,best fitness:71.13615384615386
500 time:71.67,best fitness:71.14015384615385
501 time:72.66,best fitness:71.13615384615383
502 time:71.53,best fitness:71.12955384615384
503 time:71.85,best fitness:71.13565384615384
504 time:70.47,best fitness:71.13715384615385
505 time:70.53,best fitness:71.13615384615383
506 time:71.43,best fitness:71.13715384615385
507 time:71.17,best fitness:71.13915384615385
508 time:71.37,best fitness:71.13017692307692
509 time:71.97,best fitness:71.13615384615383
510 time:70.86,best fitness:71.13965384615385
511 time:72.02,best fitness:71.13615384615383
512 time:71.64,best fitness:71.14015384615385
513 time:70.48,best fitness:71.13715384615385
514 time:71.73,best fitness:71.14115384615384
515 time:70.75,best fitness:71.13834615384616
516 time:71.44,best fitness:71.12795384615386
517 time:72.33,best fitness:71.14015384615385
518 time:72.24,best fitness:71.13565384615386
519 time:71.84,best fitness:71.13815384615384
520 time:72.53,best fitness:71.13315384615383
521 time:72.2,best fitness:71.13765384615384
522 time:72.67,best fitness:71.13229999999999
523 time:70.8,best fitness:71.12965384615384
524 time:71.03,best fitness:71.13465384615384
525 time:70.97,best fitness:71.13465384615384
526 time:71.0,best fitness:71.13915384615385
527 time:72.15,best fitness:71.14015384615385
528 time:72.34,best fitness:71.13965384615383
